"Name","Location","Code Unit"
"Total_Injection_Ratio_Port_Cold","000e0bc8","3dmtable "
"Total_Injection_Ratio_Port_Hot","000e0be4","3dmtable "
"DiPi_Fueling_ECT_Unknown_17","000e0c00","3dmtable "
"DiPi_Fueling_ECT_Unknown_13","000e0c1c","3dmtable "
"DiPi_Fueling_ECT_Unknown_27","000e0c38","3dmtable "
"dipi_ect_ratio_B","000e0c54","3dmtable "
"dipi_ect_ratio_C","000e0c8c","3dmtable "
"CL_Fueling_Transient_Unknown_ZL_ECT_DiPi","000e0ca8","3dtable "
"Primary_Open_Loop_Unknown_D","000e0d5c","3dmtable "
"Primary_Open_Loop_Fueling_A_High","000e0d78","3dmtable "
"Primary_Open_Loop_Fueling_B_Low","000e0d94","3dmtable "
"Primary_Open_Fueling_Additive_A_High","000e0db0","3dmtable "
"Primary_Open_Fueling_Additive_B_Low","000e0dcc","3dmtable "
"Primary_Open_Loop_Unknown_A_IAM_High","000e0ee4","3dmtable "
"Primary_Open_Loop_Unknown_C_IAM_Low","000e0f00","3dmtable "
"Primary_Open_Loop_Fueling_Minimum","000e0f1c","3dmtable "
"Per_Injector_Pulse_Width_A_table","000e0f70","3dmtable "
"Per_Injector_Pulse_Width_B_table","000e0f8c","3dmtable "
"Per_Injector_Pulse_Width_C_table","000e0fa8","3dmtable "
"Per_Injector_Pulse_Width_D_table","000e0fc4","3dmtable "
"Per_Injector_Pulse_Width_E_table","000e0fe0","3dmtable "
"Per_Injector_Pulse_Width_F_table","000e0ffc","3dmtable "
"Per_Injector_Pulse_Width_G_table","000e1018","3dmtable "
"Per_Injector_Pulse_Width_H_table","000e1034","3dmtable "
"GDI_Pressure_Multiplier_B","000e106c","3dmtable "
"GDI_Pressure_Target_B","000e1088","3dmtable "
"Cranking_Fuel_IPW_B_ECT","000e1114","3dmtable "
"Cranking_Fuel_IPW_E_ECT","000e1130","3dmtable "
"Cranking_Fuel_IPW_F_ECT","000e114c","3dmtable "
"Cranking_Fuel_IPW_I_ECT","000e1168","3dmtable "
"Cranking_Fuel_IPW_J_ECT","000e1184","3dmtable "
"Injector_latency_table","000e1264","3dtable "
"Input_A_Rising_Load_Activation_ECT_Load_1","000e12b0","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_2","000e12cc","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_3","000e12e8","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_4","000e1304","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_5","000e1320","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_6","000e133c","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_7","000e1358","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_8","000e1374","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_9","000e1390","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_10","000e13ac","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_11","000e13c8","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_12","000e13e4","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_13","000e1400","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_14","000e141c","3dmtable "
"CL_Fueling_Transient_Unknown_Q_MAP_RPM","000e1438","3dmtable "
"CL_Fueling_Transient_Unknown_N_MAP_RPM","000e1454","3dmtable "
"CL_Fueling_Transient_Unknown_R_MAP_DiPi","000e1470","3dmtable "
"CL_Fueling_Transient_Unknown_O_MAP_DiPi","000e148c","3dmtable "
"CL_Fueling_Transient_Unknown_M_MAPDelta_DiPi","000e14a8","3dmtable "
