name,data,table,sizey,sizex,type,type2,category
DiPi Fueling ECT Unknown 1 A,114fcc,e08bc,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 A,11507c,e08d4,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 A,11512c,e08ec,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 A,1151ec,e0904,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 A,115264,e0910,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 A,1152c0,e091c,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 A,11531c,e0928,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 A,115394,e0934,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 A,1153f0,e0940,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 1 B,115024,e08c8,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 2 B,1150d4,e08e0,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 3 B,115184,e08f8,11,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 4 B,11544c,e094c,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 5 B,1154c4,e0958,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 6 B,115520,e0964,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 7 B,11557c,e0970,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 8 B,1155f4,e097c,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 9 B,115650,e0988,8,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 10,11499c,e06e4,15,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 A,1135f6,dfd0c,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 B,11368c,dfd70,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 11 C,113616,dfd20,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 12,1129fc,df700,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 13,11608c,e0c1c,2,2,3D,3D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 14,113690,dfd84,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 15,1129d4,df6e0,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 16,1129e4,df6ec,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 17,116070,e0c00,2,5,3D,3D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 18,1137b0,dfe30,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 19,113870,dfeb4,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 20,11387c,dfec8,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 21,113888,dfedc,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 22,113894,dfef0,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 23,113810,dfe64,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 24,113830,dfe78,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 25,113858,dfe8c,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 26,113864,dfea0,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 27,1160ac,e0c38,2,5,3D,3D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 A,113730,dfde0,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 A,113750,dfdf4,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 B,1138b8,dff2c,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 B,1138c4,dff40,2,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 28 C,113770,dfe08,16,,2D,2D,Fueling - Closed Loop
DiPi Fueling ECT Unknown 29 C,113790,dfe1c,16,,2D,2D,Fueling - Closed Loop
CL Fueling Target Compensation A (Load),11bf44,e1b98,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation B (Load),119718,e1700,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation C (Load),119864,e171c,11,11,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation A (ECT),1195f4,e16c8,3,16,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation B (ECT),119660,e16e4,3,16,3D,3D,Fueling - Closed Loop
CL Fueling Target Compensation (ECT) Disable,111ad8,111ad8,1,,2D,synth2D,Fueling - Closed Loop
CL to OL Transition with Delay (Base Pulse Width),114148,e03ec,16,,2D,2D,Fueling - CL/OL Transition
CL Delay Maximum Engine Speed (Per Gear),11c358,11c358,6,,2D,synth2D,Fueling - CL/OL Transition
Injector Latency,117ef4,e1264,3,5,3D,3D,Fueling - Port Injectors
Injector Flow Scaling,111894,111894,1,,2D,synth2D,Fueling - Port Injectors
Injector Flow Scaling BRZ,111860,111860,1,,2D,synth2D,Fueling - Port Injectors
Per Injector Pulse Width Compensation A,116ff8,e0f70,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation B,1170b8,e0f8c,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation C,117178,e0fa8,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation D,117238,e0fc4,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation E,1172f8,e0fe0,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation F,1173b8,e0ffc,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation G,117478,e1018,12,9,3D,3D,Fueling - Port Injectors
Per Injector Pulse Width Compensation H,117538,e1034,12,9,3D,3D,Fueling - Port Injectors
Cranking Fuel IPW Compensation A (RPM),115e6c,e0b74,2,2,3D,3D,Fueling - Cranking
Cranking Fuel IPW Compensation (MAP),112914,df644,10,,2D,2D,Fueling - Cranking
Cranking Fuel IPW Compensation (Accelerator),112938,df658,6,,2D,2D,Fueling - Cranking
Cranking Fuel IPW Compensation (IAT),112954,df66c,5,,2D,2D,Fueling - Cranking
Throttle Tip-in Enrichment A,11b558,e19a0,3,18,3D,3D,Fueling - Tip-in Enrichment
Throttle Tip-in Enrichment B,11b618,e19bc,3,18,3D,3D,Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation,111fc0,111fc0,1,,2D,synth2D,Fueling - Tip-in Enrichment
Minimum Tip-in Enrichment Activation (Throttle),111fb4,111fb4,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (RPM),112f68,dfa60,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (MRP),112f9c,dfa74,9,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation A (ECT),112fa5,dfa88,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation B (ECT),11b690,e19d8,3,16,3D,3D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation C (ECT),11b6fc,e19f4,3,16,3D,3D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT),1146ec,e0578,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation,111fbc,111fbc,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold A (ECT),112fb5,dfa9c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold B (ECT),112fc5,dfaa8,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Applied Counter Reset,111660,111660,1,,2D,synth2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold A (ECT),11470c,e058c,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold B (ECT),11472c,e05a0,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Throttle Cumulative Reset,111661,111661,1,,2D,synth2D,Fueling - Tip-in Enrichment
A/F Learning #1 Limits,111ba0,111ba0,2,,2D,synth2D,Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges A,114ea4,114ea4,5,,2D,synth2D,Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges B,114ecc,114ecc,5,,2D,synth2D,Fueling - AF Correction / Learning
MAF Voltage Limits (CEL),1254fe,1254fe,2,,2D,synth2D,Mass Airflow / Engine Load
MAF Limit (Maximum),104770,104770,1,,2D,synth2D,Mass Airflow / Engine Load
MAF Sensor Scaling,127004,e42b8,54,,2D,2D,Mass Airflow / Engine Load
MAF Compensation (IAT),105878,dd48c,10,6,3D,3D,Mass Airflow / Engine Load
MAF Correction After Start (Neutral),1235d4,e3784,8,14,3D,3D,Mass Airflow / Engine Load
MAF Correction After Start (In Gear),12370c,e37a0,8,14,3D,3D,Mass Airflow / Engine Load
Engine Load Limit (Maximum),50ae4,50ae4,1,,2D,synth2D,Mass Airflow / Engine Load
Engine Load Compensation (MP),105964,dd4c4,24,15,3D,3D,Mass Airflow / Engine Load
Base Timing A1,11e404,e25e4,23,14,3D,3D,Ignition Timing - Advance
Base Timing A2,11e22c,e25c8,23,14,3D,3D,Ignition Timing - Advance
Base Timing B1,11e7b4,e261c,23,14,3D,3D,Ignition Timing - Advance
Base Timing B2,11e5dc,e2600,23,14,3D,3D,Ignition Timing - Advance
Timing Unknown A,11d606,e227c,16,,2D,2D,Ignition Timing - Advance
Timing Unknown B,11d666,e22b8,16,,2D,2D,Ignition Timing - Advance
Timing Unknown C,11d8c4,e2418,2,,2D,2D,Ignition Timing - Advance
Timing Unknown D1,11d646,e22a4,16,,2D,2D,Ignition Timing - Advance
Timing Unknown D2,11d626,e2290,16,,2D,2D,Ignition Timing - Advance
Timing Unknown E1,11ce84,e1da8,16,,2D,2D,Ignition Timing - Advance
Timing Unknown E2,11cec4,e1de4,4,,2D,2D,Ignition Timing - Advance
Timing Unknown F1,11d686,e22cc,16,,2D,2D,Ignition Timing - Advance
Timing Unknown G1,11ce9c,e1dbc,2,,2D,2D,Ignition Timing - Advance
Timing Unknown G2,11ceb0,e1dd0,4,,2D,2D,Ignition Timing - Advance
Timing Unknown H,11d6a6,e22e0,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle (In-Gear)(Above Speed Threshold),11e170,e2590,2,10,3D,3D,Ignition Timing - Advance
Base Timing Idle (In-Gear)(Below Speed Threshold),11cd14,e1d08,8,,2D,2D,Ignition Timing - Advance
Base Timing Idle (Neutral),11cd3c,e1d1c,8,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown A,11cd68,e1d30,9,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown B,11cd71,e1d44,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown C,11cf34,e1e34,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle Vehicle Speed Threshold,11c3c0,11c3c0,1,,2D,synth2D,Ignition Timing - Advance
Knock Correction Advance Max A,11f3f4,e2a28,23,14,3D,3D,Ignition Timing - Advance
Timing Compensation (IAT),11cfdc,e1ec0,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation (IAT) Activation,11e9e0,e2734,5,8,3D,3D,Ignition Timing - Compensation
Timing Compensation A (ECT),11cf5a,e1e70,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation B (ECT),11cf6a,e1e84,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation Per Cylinder A,11f07c,e2948,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder B,11f134,e2964,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder C,11f1ec,e2980,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder D,11f2a4,e299c,6,16,3D,3D,Ignition Timing - Compensation
Timing Comp Minimum Load (Per Cylinder),11c5ec,11c5ec,1,,2D,synth2D,Ignition Timing - Compensation
Timing Comp Maximum RPM (Per Cylinder),11c5e8,11c5e8,1,,2D,synth2D,Ignition Timing - Compensation
Timing Comp Minimum Coolant Temp (Per Cylinder),11c5f0,11c5f0,1,,2D,synth2D,Ignition Timing - Compensation
Feedback Correction Range (RPM),11c5fc,11c5fc,4,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Minimum Load,11c5f4,11c5f4,2,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Retard Value,11c61c,11c61c,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Retard Limit,11c618,11c618,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Negative Advance Value,11c620,11c620,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Negative Advance Delay,11c2c0,11c2c0,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Range (RPM),11c7c0,11c7c0,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Range (Load),11c7d0,11c7d0,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Rows (RPM),11c75c,11c75c,6,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Columns (Load),11c778,11c778,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Retard Value,11c798,11c798,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Retard Limit,11c7b4,11c7b4,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Value,11c794,11c794,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Limit,11c790,11c790,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Delay,11c2d0,11c2d0,1,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Range (RPM),11c70c,11c70c,4,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Range (Load),11c71c,11c71c,4,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Minimum KC Advance Map Value,11c72c,11c72c,1,,2D,synth2D,Ignition Timing - Knock Control
Advance Multiplier (Initial),11c730,11c730,1,,2D,synth2D,Ignition Timing - Knock Control
Advance Multiplier Step Value,11c734,11c734,1,,2D,synth2D,Ignition Timing - Knock Control
Knock Sensor Calibration,1268e4,e4208,87,,2D,2D,Ignition Timing - Knock Control
Knock Threshold,11dff8,e2550,7,5,3D,3D,Ignition Timing - Knock Control
Requested Torque A (Accelerator Pedal),103a4c,dce14,18,16,3D,3D,Drive-by-Wire Throttle (DBW)
Requested Torque B (Accelerator Pedal),13cd80,e3b24,23,16,3D,3D,Drive-by-Wire Throttle (DBW)
Target Throttle Plate Position Maximum (Requested Torque),13c864,e3a7c,23,21,3D,3D,Drive-by-Wire Throttle (DBW)
Rev Limit A (Fuel Cut),112060,112060,2,,2D,synth2D,Miscellaneous - Limits
Rev Limit B,112068,112068,2,,2D,synth2D,Miscellaneous - Limits
Rev Limit Fuel Resume (MP),112070,112070,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting Enable (Fuel Cut),112078,112078,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting Disable (Fuel Cut),112074,112074,1,,2D,synth2D,Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Sport/Sport Sharp,13c344,13c344,2,,2D,synth2D,Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Sport/Sport Sharp,13c350,13c350,2,,2D,synth2D,Miscellaneous - Limits
Speed Limiting A (Throttle) SI-DRIVE Intelligent,13c35c,13c35c,2,,2D,synth2D,Miscellaneous - Limits
Speed Limiting B (Throttle) SI-DRIVE Intelligent,13c368,13c368,2,,2D,synth2D,Miscellaneous - Limits
Intake Temp Sensor Scaling,126aec,e4228,30,,2D,2D,Miscellaneous - Sensor Scalings
Coolant Temp Sensor Scaling,126a04,e421c,28,,2D,2D,Miscellaneous - Sensor Scalings
Radiator Fan Modes A (ECT),1253e0,1253e0,4,,2D,synth2D,Miscellaneous - Thresholds
Radiator Fan Modes B (ECT),1253f0,1253f0,4,,2D,synth2D,Miscellaneous - Thresholds
Radiator Fan Modes (Veh. Speed),125400,125400,6,,2D,synth2D,Miscellaneous - Thresholds
Gear Shift Indicator A (Load Correction),1025ac,1025ac,6,,2D,synth2D,Miscellaneous - Thresholds
Gear Shift Indicator B (Load),102840,dca90,16,,2D,2D,Miscellaneous - Thresholds
Gear Shift Indicator C (RPM Correction),102898,dca9c,6,,2D,2D,Miscellaneous - Thresholds
Gear Shift Indicator D (Min Speed),1025c8,1025c8,1,,2D,synth2D,Miscellaneous - Thresholds
Gear Determination Thresholds A,104a18,104a18,5,,2D,synth2D,Miscellaneous - Thresholds
Gear Determination Thresholds B,104a2c,104a2c,5,,2D,synth2D,Miscellaneous - Thresholds
Idle Speed Target A,1210b8,e3018,16,,2D,2D,Idle Control
Idle Speed Target B,1210d8,e302c,16,,2D,2D,Idle Control
Idle Speed Target C,1210f8,e3040,16,,2D,2D,Idle Control
Idle Speed Target D,121118,e3054,16,,2D,2D,Idle Control
Idle Speed Target E,121138,e3068,16,,2D,2D,Idle Control
Idle Speed Target F,121158,e307c,16,,2D,2D,Idle Control
Idle Speed Target G,121178,e3090,16,,2D,2D,Idle Control
Idle Speed Target H,1211d8,e30a4,16,,2D,2D,Idle Control
Idle Speed Target I,121238,e30b8,16,,2D,2D,Idle Control
Idle Speed Target J,121298,e30cc,16,,2D,2D,Idle Control
Idle Speed Target K,1212f8,e30e0,16,,2D,2D,Idle Control
Idle Speed Target L,121358,e30f4,16,,2D,2D,Idle Control
Idle Speed Stability A,122a3c,e35f8,11,16,3D,3D,Idle Control
Idle Speed Stability B,122c08,e3614,11,16,3D,3D,Idle Control
Idle Speed Stability Additive,1213b4,e311c,6,,2D,2D,Idle Control
Ignition Dwell,127210,e42dc,5,16,3D,3D,Miscellaneous - Sensor Scalings
AFR Sensor Heater Protection,1006a8,dc6c8,5,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle A,100770,dc724,4,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heater Duty Cycle B,100788,dc738,4,,2D,2D,Fueling - O2 Sensor #1
AFR Sensor Heating Limit,100e38,dc7ac,6,6,3D,3D,Fueling - O2 Sensor #1
Fuel Multiplier Display Offset,10272c,dca34,5,,2D,2D,Miscellaneous - Other
Calculated Torque A,102c44,dcb0c,23,13,3D,3D,Drive-by-Wire Throttle (DBW)
Calculated Torque B,102f24,dcb28,23,11,3D,3D,Drive-by-Wire Throttle (DBW)
Post Cranking Airflow Initial Reference Coolant,104c28,dd194,16,,2D,2D,Fueling - Cranking
Post Cranking Load Initial Reference Coolant,104d30,dd1f8,16,,2D,2D,Fueling - Cranking
Cylinder Fill Percentage,1080ec,dda04,22,16,3D,3D,Mass Airflow / Engine Load
Solenoid Control,108acc,ddcb8,5,7,3D,3D,CPC Solenoid
Solenoid Duty,108b7c,ddcd4,13,13,3D,3D,CPC Solenoid
Misfire Count MAP Threshold A,10a3a2,ddd4c,13,,2D,2D,Miscellaneous - Thresholds
Misfire Count MAP Threshold B,10a3af,ddd60,13,,2D,2D,Miscellaneous - Thresholds
Misfire DTC Threshold,10cd4c,dec64,19,14,3D,3D,Miscellaneous - Thresholds
AFR Minimum Correction,112b4c,df7d4,9,,2D,2D,Alpha - BRZ
AFR Maximum Correction,112b7c,df7e8,9,,2D,2D,Alpha - BRZ
Port Injection MRP Compensation,114cf0,e07e4,8,,2D,2D,Fueling - Port Injectors
Direct Injection Quantity Maximum,114d40,e07f0,12,,2D,2D,Fueling - GDI
Direct Injection Quantity Minimum,114d88,e07fc,6,,2D,2D,Fueling - GDI
GDI Firing Angle Cold Idle,115b64,e0a40,2,2,3D,3D,Fueling - GDI
GDI Firing Angle High Load Cold,115bd8,e0a5c,17,11,3D,3D,Fueling - GDI
GDI Firing Angle High Load Hot,115ca4,e0a78,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Low Load Cold,115cb8,e0a94,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Low Load Hot,115ccc,e0ab0,2,2,3D,3D,Fueling - GDI
GDI Firing Angle Cold Idle (Override),5ff7c,,4,,Switch,Switch,Fueling - GDI
GDI Firing Angle High Load Hot (Override),5ff8c,,4,,Switch,Switch,Fueling - GDI
GDI Firing Angle Low Load Cold (Override),5ff90,,4,,Switch,Switch,Fueling - GDI
GDI Firing Angle Low Load Hot (Override),5ff94,,4,,Switch,Switch,Fueling - GDI
GDI Pressure Multiplier A,115d20,e0acc,10,10,3D,3D,Fueling - GDI
GDI Pressure Target A,115dc4,e0b04,2,2,3D,3D,Fueling - GDI
GDI Pressure Target B,1178a8,e1088,17,15,3D,3D,Fueling - GDI
Total Injection Ratio Port Cold,11603c,e0bc8,2,2,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Hot,116050,e0be4,2,2,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Warm,115f3c,e0bac,20,12,3D,3D,Fueling - Injector Ratio
Total Injection Ratio Port Cold (Override),62230,,4,,Switch,Switch,Fueling - Injector Ratio
