name	dataaddr	tableaddr	sizey	sizex	type	category
Misfire DTC Threshold	10ace4	bd28c	19	14	3D	Miscellaneous - Thresholds
AFR Minimum Correction	10ef84	bdbb4	9		2D	Alpha - BRZ
AFR Maximum Correction	10efb4	bdbc8	9		2D	Alpha - BRZ
Port Injection MRP Compensation	111248	bebf8	8		2D	Fueling - Port Injectors
Direct Injection Quantity Maximum	111298		12		2D	Fueling - GDI
Direct Injection Quantity Minimum	1112e0		6		2D	Fueling - GDI
GDI Firing Angle Cold Idle	112094	bee48	2	2	3D	Fueling - GDI
GDI Firing Angle High Load Cold	112108	bee64	17	11	3D	Fueling - GDI
GDI Firing Angle High Load Hot	1121d4	bee80	2	2	3D	Fueling - GDI
GDI Firing Angle Low Load Cold	1121e8	bee9c	2	2	3D	Fueling - GDI
GDI Firing Angle Low Load Hot	1121fc	beeb8	2	2	3D	Fueling - GDI
GDI Pressure Multiplier A	112250	beed4	10	10	3D	Fueling - GDI
GDI Pressure Target A	1122f4	bef0c	2	2	3D	Fueling - GDI
GDI Pressure Target B	113dd8	bf490	17	15	3D	Fueling - GDI
Total Injection Ratio Port Cold	11256c	befd0	2	2	3D	Fueling - Injector Ratio
Total Injection Ratio Port Hot	112580	befec	2	2	3D	Fueling - Injector Ratio
Total Injection Ratio Port Warm	11246c	befb4	20	12	3D	Fueling - Injector Ratio
PI Ratio ECT Compensation (Additive)	10ee40		2		2D	Fueling - Injector Ratio
PI Ratio ECT Compensation (Load)	112600		6	16	3D	Fueling - Injector Ratio
PI Ratio ECT Compensation	112724		3	16	3D	Fueling - Injector Ratio
PI Ratio ECT Unknown	111328		16		2D	Fueling - Injector Ratio
ECT Unknown	11053e		16		2D	Fueling - Injector Ratio
ECT Unknown B	10a4e0	bd0e8	16		2D	Fueling - Injector Ratio
Primary Open Loop Fueling Additive A	112df8		23	13	3D	Fueling - Primary Open Loop
Primary Open Loop Fueling Additive B	112fb4		23	13	3D	Fueling - Primary Open Loop
GDI Pressure Multiplier B	113c90	bf474	10	10	3D	Fueling - GDI
Input A Rising Load Activation ECT Load 1	11451c	bf6b8	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 2	11457c	GLOB(0x95bff97b0)	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 3	1145dc	bf6f0	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 4	114648	bf70c	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 5	1146b4	bf728	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 6	114714	bf744	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 7	114774	bf760	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 8	1147d4	bf77c	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 9	114840	bf798	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 10	1148a0	bf7b4	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 11	11490c	bf7d0	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 12	11496c	bf7ec	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 13	1149d8	bf808	3	16	3D	Fueling - Transient
Input A Rising Load Activation ECT Load 14	114a38	bf824	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown B	1151dc	bf9c8	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown C	10fdec	be458	3		2D	Fueling - Transient
CL Fueling Transient Unknown D	10fdf2	be46c	3		2D	Fueling - Transient
CL Fueling Transient Unknown E	10fdf8	be480	3		2D	Fueling - Transient
CL Fueling Transient Unknown F	10fdfe	be494	3		2D	Fueling - Transient
CL Fueling Transient Unknown G	10fe24	be4a8	8		2D	Fueling - Transient
CL Fueling Transient Unknown H	10fe54	be4bc	8		2D	Fueling - Transient
CL Fueling Transient Unknown I	10fe84	be4d0	8		2D	Fueling - Transient
CL Fueling Transient Unknown J	10feb4	be4e4	8		2D	Fueling - Transient
CL Fueling Transient Unknown K	10eeaa	bdb30	16		2D	Fueling - Transient
CL Fueling Transient Unknown L	114d60	bf8cc	3	13	3D	Fueling - Transient
CL Fueling Transient Unknown M	114cdc	bf8b0	3	13	3D	Fueling - Transient
CL Fueling Transient Unknown N	114b98	bf85c	8	8	3D	Fueling - Transient
CL Fueling Transient Unknown O	114c7c	bf894	3	7	3D	Fueling - Transient
CL Fueling Transient Unknown P	10ee6c	bdb08	10		2D	Fueling - Transient
CL Fueling Transient Unknown S	10fdaa	be408	3		2D	Fueling - Transient
CL Fueling Transient Unknown V	10eea0	bdb1c	10		2D	Fueling - Transient
CL Fueling Transient Unknown W	10fda4	be3f4	3		2D	Fueling - Transient
CL Fueling Transient Unknown ZA	10fdb6	be430	3		2D	Fueling - Transient
CL Fueling Transient Unknown ZD	10fdb0	be41c	3		2D	Fueling - Transient
CL Fueling Transient Unknown ZH	115288	bf9dc	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZI	115334	bf9f8	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZJ	1153e0	bfa14	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZK	11548c	bfa30	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZL	1127a0	bf0b0	3	16	3D	Fueling - Transient
CL Fueling Transient Unknown ZM	115538	bfa4c	3	16	3D	Fueling - Transient
