name,data,table,sizey,sizex,type,type2,category
Tip-in Enrichment Disable Throttle Cumulative Threshold B (ECT),1148b0,ded94,16,,2D,2D,Fueling - Tip-in Enrichment
Tip-in Throttle Cumulative Reset,1116cd,1116cd,1,,2D,synth2D,Fueling - Tip-in Enrichment
A/F Learning #1 Limits,111c0c,111c0c,2,,2D,synth2D,Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges A,115028,115028,5,,2D,synth2D,Fueling - AF Correction / Learning
A/F Learning #1 Airflow Ranges B,115050,115050,5,,2D,synth2D,Fueling - AF Correction / Learning
MAF Voltage Limits (CEL),125396,125396,2,,2D,synth2D,Mass Airflow / Engine Load
MAF Limit (Maximum),104770,104770,1,,2D,synth2D,Mass Airflow / Engine Load
MAF Sensor Scaling,126e9c,e2a0c,54,,2D,2D,Mass Airflow / Engine Load
MAF Compensation (IAT),105878,dbbc4,10,6,3D,3D,Mass Airflow / Engine Load
MAF Correction After Start (Neutral),12347c,e1ed8,8,14,3D,3D,Mass Airflow / Engine Load
MAF Correction After Start (In Gear),1235b4,e1ef4,8,14,3D,3D,Mass Airflow / Engine Load
Engine Load Limit (Maximum),50868,50868,1,,2D,synth2D,Mass Airflow / Engine Load
Engine Load Compensation (MP),105964,dbbfc,24,15,3D,3D,Mass Airflow / Engine Load
Base Timing A (Safe),11e2ac,e0d38,23,14,3D,3D,Ignition Timing - Advance
Base Timing A (Base),11e0d4,e0d1c,23,14,3D,3D,Ignition Timing - Advance
Base Timing B (Safe),11e65c,e0d70,23,14,3D,3D,Ignition Timing - Advance
Base Timing B (Base),11e484,e0d54,23,14,3D,3D,Ignition Timing - Advance
Timing Unknown A,11d4ae,e09d0,16,,2D,2D,Ignition Timing - Advance
Timing Unknown B,11d50e,e0a0c,16,,2D,2D,Ignition Timing - Advance
Timing Unknown C,11d76c,e0b6c,2,,2D,2D,Ignition Timing - Advance
Timing Unknown D1,11d4ee,e09f8,16,,2D,2D,Ignition Timing - Advance
Timing Unknown D2,11d4ce,e09e4,16,,2D,2D,Ignition Timing - Advance
Timing Unknown E1,11cd2c,e04fc,16,,2D,2D,Ignition Timing - Advance
Timing Unknown E2,11cd6c,e0538,4,,2D,2D,Ignition Timing - Advance
Timing Unknown F1,11d52e,e0a20,16,,2D,2D,Ignition Timing - Advance
Timing Unknown G1,11cd44,e0510,2,,2D,2D,Ignition Timing - Advance
Timing Unknown G2,11cd58,e0524,4,,2D,2D,Ignition Timing - Advance
Timing Unknown H,11d54e,e0a34,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle (In-Gear)(Above Speed Threshold),11e018,e0ce4,2,10,3D,3D,Ignition Timing - Advance
Base Timing Idle (In-Gear)(Below Speed Threshold),11cbbc,e045c,8,,2D,2D,Ignition Timing - Advance
Base Timing Idle (Neutral),11cbe4,e0470,8,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown A,11cc10,e0484,9,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown B,11cc19,e0498,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle Unknown C,11cddc,e0588,16,,2D,2D,Ignition Timing - Advance
Base Timing Idle Vehicle Speed Threshold,11831c,11c268,1,,2D,2D,Ignition Timing - Advance
Knock Correction Advance Max A,11f29c,e117c,23,14,3D,3D,Ignition Timing - Advance
Timing Compensation (IAT),11ce84,e0614,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation (IAT) Activation,11e888,e0e88,5,8,3D,3D,Ignition Timing - Compensation
Timing Compensation A (ECT),11ce02,e05c4,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation B (ECT),11ce12,e05d8,16,,2D,2D,Ignition Timing - Compensation
Timing Compensation Per Cylinder A,11ef24,e109c,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder B,11efdc,e10b8,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder C,11f094,e10d4,6,16,3D,3D,Ignition Timing - Compensation
Timing Compensation Per Cylinder D,11f14c,e10f0,6,16,3D,3D,Ignition Timing - Compensation
Timing Comp Minimum Load (Per Cylinder),11c494,11c494,1,,2D,synth2D,Ignition Timing - Compensation
Timing Comp Maximum RPM (Per Cylinder),11c490,11c490,1,,2D,synth2D,Ignition Timing - Compensation
Timing Comp Minimum Coolant Temp (Per Cylinder),11c498,11c498,1,,2D,synth2D,Ignition Timing - Compensation
Feedback Correction Range (RPM),11c4a4,11c4a4,4,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Minimum Load,11c49c,11c49c,2,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Retard Value,11c4c4,11c4c4,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Retard Limit,11c4c0,11c4c0,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Negative Advance Value,11c4c8,11c4c8,1,,2D,synth2D,Ignition Timing - Knock Control
Feedback Correction Negative Advance Delay,11c168,11c168,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Range (RPM),11c668,11c668,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Range (Load),11c678,11c678,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Rows (RPM),11c604,11c604,6,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Columns (Load),11c620,11c620,4,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Retard Value,11c640,11c640,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Retard Limit,11c65c,11c65c,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Value,11c63c,11c63c,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Limit,11c638,11c638,1,,2D,synth2D,Ignition Timing - Knock Control
Fine Correction Advance Delay,11c178,11c178,1,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Range (RPM),11c5b4,11c5b4,4,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Range (Load),11c5c4,11c5c4,4,,2D,synth2D,Ignition Timing - Knock Control
Rough Correction Minimum KC Advance Map Value,11c5d4,11c5d4,1,,2D,synth2D,Ignition Timing - Knock Control
Advance Multiplier (Initial),11c5d8,11c5d8,1,,2D,synth2D,Ignition Timing - Knock Control
Advance Multiplier Step Value,11c5dc,11c5dc,1,,2D,synth2D,Ignition Timing - Knock Control
Knock Sensor Calibration,12677c,e295c,87,,2D,2D,Ignition Timing - Knock Control
Knock Threshold,11dea0,e0ca4,7,5,3D,3D,Ignition Timing - Knock Control
Requested Torque A (Accelerator Pedal),103a4c,db54c,18,16,3D,3D,Drive-by-Wire Throttle (DBW)
Requested Torque B (Accelerator Pedal),13cd80,e2278,23,16,3D,3D,Drive-by-Wire Throttle (DBW)
Target Throttle Plate Position Maximum (Requested Torque),13c864,e21d0,23,21,3D,3D,Drive-by-Wire Throttle (DBW)
Rev Limit A (Fuel Cut),1120cc,1120cc,2,,2D,synth2D,Miscellaneous - Limits
Rev Limit B,1120d4,1120d4,2,,2D,synth2D,Miscellaneous - Limits
