"Name","Location","Code Unit"
"Failsafe_Idle_Throttle_Target_D","000ddb10","3dtable "
"Cranking_Fuel_IPW_Comp_MAP","000ddde8","2dmtable "
"Cranking_Fuel_IPW_Comp_Accelerator","000dddfc","2dmtable "
"Cranking_Fuel_IPW_Comp_IAT","000dde10","2dmtable "
"DiPi_Fueling_ECT_Unknown_15","000dde84","2dtable "
"DiPi_Fueling_ECT_Unknown_16","000dde90","2dmtable "
"DiPi_Fueling_ECT_Unknown_12","000ddea4","2dmtable "
"dipi_ect_ratio_A","000ddeb8","2dmtable "
"AFR_Minimum_Correction","000ddf78","2dmtable "
"AFR_Maximum_Correction","000ddf8c","2dmtable "
"CL_Fueling_Unknown_D","000ddfa0","2dmtable "
"Low_Pulse_Width_Fuel_Injector_Comp_table","000de1f0","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_RPM","000de204","2dmtable.conflict "
"Throttle_Tip_In_Enrichment_Comp_MRP","000de218","2dmtable.conflict "
"Throttle_Tip_In_Enrichment_Comp_A_ECT","000de22c","2dmtable "
"Tip_In_Enrichment_Disable_Applied_Counter_Threshold_A_ECT","000de240","2dtable "
"Tip_In_Enrichment_Disable_Applied_Counter_Threshold_B_ECT","000de24c","2dtable "
"DiPi_Fueling_ECT_Unknown_11A","000de4b0","2dmtable "
"DiPi_Fueling_ECT_Unknown_11C","000de4c4","2dmtable "
"DiPi_Fueling_ECT_Unknown_11B","000de514","2dmtable "
"DiPi_Fueling_ECT_Unknown_14","000de528","2dtable "
"CL_Fueling_Unknown_A","000de980","2dmtable "
"LTFT_2dmtable_000de9fc","000de9fc","2dmtable "
"ECT_Unknown_table","000deb68","2dmtable "
"CL_to_OL_Transition_with_Delay_Base","000deb90","2dmtable "
"CL_to_OL_Transition_with_Delay_Injector","000deba4","2dmtable "
"Throttle_Tip_In_Enrichment_A","000ded10","2dmtable "
"Throttle_Tip_In_Enrichment_B","000ded24","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_B_ECT","000ded38","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_C_ECT","000ded4c","2dmtable "
"Throttle_Tip_In_Enrichment_Comp_D_ECT","000ded6c","2dmtable.conflict "
"Tip_In_Enrichment_Disable_Throttle_Cumulative_Threshold_A_ECT","000ded80","2dmtable "
"Tip_In_Enrichment_Disable_Throttle_Cumulative_Threshold_B_ECT","000ded94","2dmtable "
"2dmtable_speed_000dee34","000dee34","2dmtable "
"Overrun_Fueling_RPM_Resume_Threshold_table","000dee84","2dmtable "
"DiPi_Fueling_ECT_Unknown_10","000deed8","2dtable "
"Port_Injection_MRP_Compensation","000defd8","2dtable "
"Direct_Injection_Quantity_Max_table","000defe4","2dtable "
"Direct_Injection_Quantity_Min_table","000deff0","2dtable "
"dipi_ECT_Unknown","000df008","2dtable "
"AF_Learning_1_Airflow_A","000df020","2dtable "
"AF_Learning_1_Airflow_B","000df02c","2dtable "
"DiPi_Fueling_ECT_Unknown_1A","000df0b0","2dtable "
"DiPi_Fueling_ECT_Unknown_1B","000df0bc","2dtable "
"DiPi_Fueling_ECT_Unknown_2A","000df0c8","2dtable "
"DiPi_Fueling_ECT_Unknown_2B","000df0d4","2dtable "
"DiPi_Fueling_ECT_Unknown_3A","000df0e0","2dtable "
"DiPi_Fueling_ECT_Unknown_3B","000df0ec","2dtable "
"DiPi_Fueling_ECT_Unknown_4A","000df0f8","2dtable "
"DiPi_Fueling_ECT_Unknown_5A","000df104","2dtable "
"DiPi_Fueling_ECT_Unknown_6A","000df110","2dtable "
"DiPi_Fueling_ECT_Unknown_7A","000df11c","2dtable "
"DiPi_Fueling_ECT_Unknown_8A","000df128","2dtable "
"DiPi_Fueling_ECT_Unknown_9A","000df134","2dtable "
"DiPi_Fueling_ECT_Unknown_4B","000df140","2dtable "
"DiPi_Fueling_ECT_Unknown_5B","000df14c","2dtable "
"DiPi_Fueling_ECT_Unknown_6B","000df158","2dtable "
"DiPi_Fueling_ECT_Unknown_7B","000df164","2dtable "
"DiPi_Fueling_ECT_Unknown_8B","000df170","2dtable "
"DiPi_Fueling_ECT_Unknown_9B","000df17c","2dtable "
"GDI_Firing_Angle_Cold_Idle","000df234","3dmtable "
"GDI_Firing_Angle_High_Load_Cold","000df250","3dmtable "
"GDI_Firing_Angle_High_Load_Hot","000df26c","3dmtable "
"GDI_Firing_Angle_Low_Load_Cold","000df288","3dmtable "
"GDI_Firing_Angle_Low_Load_Hot","000df2a4","3dmtable "
"GDI_Pressure_Multiplier_A","000df2c0","3dmtable "
"GDI_Pressure_Target_A","000df2f8","3dmtable "
"Cranking_Fuel_IPW_Comp_A_RPM","000df368","3dmtable "
"Total_Injection_Ratio_Port_Warm","000df3a0","3dmtable "
"Total_Injection_Ratio_Port_Cold","000df3bc","3dmtable "
"Total_Injection_Ratio_Port_Hot","000df3d8","3dmtable "
"DiPi_Fueling_ECT_Unknown_17","000df3f4","3dmtable "
"DiPi_Fueling_ECT_Unknown_13","000df410","3dmtable "
"dipi_ect_ratio_B","000df448","3dmtable "
"dipi_ect_ratio_C","000df480","3dmtable "
"CL_Fueling_Unknown_B","000df4e0","3dmtable "
"CL_Fueling_Unknown_C","000df4fc","3dmtable "
"CL_Fueling_Unknown_E","000df518","3dmtable "
"CLOL_3dmtable_000df550","000df550","3dmtable "
"Primary_Open_Loop_Fueling_Timing_Max","000df56c","3dmtable "
"Primary_Open_Loop_Fueling_Timing_Min","000df588","3dmtable "
"Primary_Open_Fueling_Additive_IAM_Max","000df5a4","3dmtable "
"Primary_Open_Fueling_Additive_IAM_Min","000df5c0","3dmtable "
"Primary_Open_Loop_Fueling_Minimum","000df710","3dmtable "
"Per_Injector_Pulse_Width_A_table","000df764","3dmtable "
"Per_Injector_Pulse_Width_B_table","000df780","3dmtable "
"Per_Injector_Pulse_Width_C_table","000df79c","3dmtable "
"Per_Injector_Pulse_Width_D_table","000df7b8","3dmtable "
"Per_Injector_Pulse_Width_E_table","000df7d4","3dmtable "
"Per_Injector_Pulse_Width_F_table","000df7f0","3dmtable "
"Per_Injector_Pulse_Width_G_table","000df80c","3dmtable "
"Per_Injector_Pulse_Width_H_table","000df828","3dmtable "
"GDI_Pressure_Multiplier_B","000df860","3dmtable "
"GDI_Pressure_Target_B","000df87c","3dmtable "
"Cranking_Fuel_IPW_B_ECT","000df908","3dmtable "
"Cranking_Fuel_IPW_E_ECT","000df924","3dmtable "
"Cranking_Fuel_IPW_F_ECT","000df940","3dmtable "
"Cranking_Fuel_IPW_I_ECT","000df95c","3dmtable "
"Cranking_Fuel_IPW_J_ECT","000df978","3dmtable "
"Injector_Latency_table","000dfa58","3dtable "
"Input_A_Rising_Load_Activation_ECT_Load_1","000dfaa4","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_2","000dfac0","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_3","000dfadc","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_4","000dfaf8","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_5","000dfb14","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_6","000dfb30","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_7","000dfb4c","3dmtable "
"Input_A_Rising_Load_Activation_ECT_Load_8","000dfb68","3dmtable "
