"Name","Location","Code Unit"
"GDI_Firing_Angle_Low_Load_Cold","000bee9c","3dmtable "
"GDI_Firing_Angle_Low_Load_Hot","000beeb8","3dmtable "
"GDI_Pressure_Multiplier_A","000beed4","3dmtable "
"GDI_Pressure_Target_A","000bef0c","3dmtable "
"Cranking_Fuel_IPW_Comp_A_RPM","000bef7c","3dmtable "
"Total_Injection_Ratio_Port_Warm","000befb4","3dmtable "
"Total_Injection_Ratio_Port_Cold","000befd0","3dmtable "
"Total_Injection_Ratio_Port_Hot","000befec","3dmtable "
"DiPi_Fueling_ECT_Unknown_17","000bf008","3dmtable "
"DiPi_Fueling_ECT_Unknown_13","000bf024","3dmtable "
"DiPi_Fueling_ECT_Unknown_27","000bf040","3dmtable "
"dipi_ect_ratio_B","000bf05c","3dmtable "
"dipi_ect_ratio_C","000bf094","3dmtable "
"CL_Fueling_Transient_Unknown_ZL","000bf0b0","3dtable "
"CL_Fueling_Unknown_B","000bf0f4","3dmtable "
"CL_Fueling_Unknown_C","000bf110","3dmtable "
"CL_Fueling_Unknown_E","000bf12c","3dmtable "
"Primary_Open_Loop_Unknown_D","000bf164","3dmtable "
"Primary_Open_Loop_Fueling_Timing_Max","000bf180","3dmtable "
"Primary_Open_Loop_Fueling_Timing_Min","000bf19c","3dmtable "
"Primary_Open_Fueling_Additive_IAM_Max","000bf1b8","3dmtable "
"Primary_Open_Fueling_Additive_IAM_Min","000bf1d4","3dmtable "
"Primary_Open_Loop_Unknown_A","000bf2ec","3dmtable "
"Primary_Open_Loop_Unknown_C","000bf308","3dmtable "
"Primary_Open_Loop_Fueling_Minimum","000bf324","3dmtable "
"Per_Injector_Pulse_Width_A_table","000bf378","3dmtable "
"Per_Injector_Pulse_Width_B_table","000bf394","3dmtable "
"Per_Injector_Pulse_Width_C_table","000bf3b0","3dmtable "
"Per_Injector_Pulse_Width_D_table","000bf3cc","3dmtable "
"Per_Injector_Pulse_Width_E_table","000bf3e8","3dmtable "
"Per_Injector_Pulse_Width_F_table","000bf404","3dmtable "
"Per_Injector_Pulse_Width_G_table","000bf420","3dmtable "
"Per_Injector_Pulse_Width_H_table","000bf43c","3dmtable "
"GDI_Pressure_Multiplier_B","000bf474","3dmtable "
"GDI_Pressure_Target_B","000bf490","3dmtable "
"Cranking_Fuel_IPW_B_ECT","000bf51c","3dmtable "
"Cranking_Fuel_IPW_E_ECT","000bf538","3dmtable "
"Cranking_Fuel_IPW_F_ECT","000bf554","3dmtable "
"Cranking_Fuel_IPW_I_ECT","000bf570","3dmtable "
"Cranking_Fuel_IPW_J_ECT","000bf58c","3dmtable "
"Injector_Latency_table","000bf66c","3dtable "
