name	dataaddr	tableaddr	sizey	sizex	type	category
GDI Firing Angle Low Load Hot (Override)	5ff94		4		Switch	Fueling - GDI
GDI Pressure Multiplier A	115d20	e0acc	10	10	3D	Fueling - GDI
GDI Pressure Target A	115dc4	e0b04	2	2	3D	Fueling - GDI
GDI Pressure Target B	1178a8	e1088	17	15	3D	Fueling - GDI
Total Injection Ratio Port Cold	11603c	e0bc8	2	2	3D	Fueling - Injector Ratio
Total Injection Ratio Port Hot	116050	e0be4	2	2	3D	Fueling - Injector Ratio
Total Injection Ratio Port Warm	115f3c	e0bac	20	12	3D	Fueling - Injector Ratio
Total Injection Ratio Port Cold (Override)	62230		4		Switch	Fueling - Injector Ratio
Total Injection Ratio Port Hot (Override)	62238		4		Switch	Fueling - Injector Ratio
PI Ratio ECT Compensation (Additive)	112a08		2		2D	Fueling - Injector Ratio
PI Ratio ECT Compensation (Load)	1160d0		6	16	3D	Fueling - Injector Ratio
PI Ratio ECT Compensation	1161f4		3	16	3D	Fueling - Injector Ratio
PI Ratio ECT Unknown	114dd0		16		2D	Fueling - Injector Ratio
ECT Unknown	1140ae		16		2D	Fueling - Injector Ratio
ECT Unknown B	10bf70	de8ec	2		2D	Fueling - Injector Ratio
Primary Open Loop Fueling Additive A	1168c8		23	13	3D	Fueling - Primary Open Loop
